feature,mean_abs_shap,mean_shap_subsurface,mean_shap_terrestrial
membrane_rate,0.6076323361799282,1.2657286260824763,-0.03743286214044148
pfam_annotated_rate,0.5819931295965565,-0.29177297576806827,0.09127903396388332
protease_rate,0.5202419157531325,0.4631599323255803,0.039041020825132305
secreted,0.40117095177810314,0.6563170140659299,-0.029526966318132872
secreted_rate,0.38019849415444923,0.3772039597431874,-0.01917683021792883
AA_rate,0.30614995843887405,-0.14756591571883051,-0.011875011178899511
GT_rate,0.28849603929606626,0.4136310412584841,-0.022373632662312574
total_cazyme_rate,0.2729488749155669,0.19930934495421457,-0.015040960817328301
GH_rate,0.229962238019212,0.20802997174118207,-0.009944346891026905
CBM,0.17621168471278884,0.08935147688634681,-0.004803272071027265
CE,0.16568402041426564,0.21973468400299226,-0.009064438525581574
membrane,0.1519787294338155,0.28483507613289094,-0.011799639609878532
AA,0.14484863006587684,-0.15800630404185614,0.0020976808000348107
PL_rate,0.10199710529515327,-0.05355319265308025,-0.0043690337930015885
GH,0.10116350616708503,0.0022495373642315852,-0.0009113685865974283
CBM_rate,0.09927572798946767,-0.0017629420499821983,-0.0008896924876981967
protease,0.09889703222382576,-0.10113972275447677,0.007068472329748177
pfam_annotated,0.08884301750611366,0.13594469425164774,-0.003848538868812052
GT,0.08574024231027999,-0.0396185088778989,-0.004923031455097531
total_cazyme,0.08168702043076528,-0.036762861056457,-0.0002839058153950523
gene_count,0.057347798653464704,0.08797248717963861,-0.003107578326089859
CE_rate,0.052475297016662314,0.027866212321166435,-0.0009209709279666903
PL,0.03591035340261147,0.04034768461072864,0.0005353757920655026
